City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,pitimbu,-7.4706,-34.8086,26.33,81,23,2.99,BR,1675655637
143,thinadhoo,0.5333,72.9333,27.27,73,100,3.89,MV,1675655637
144,norman wells,65.282,-126.8329,-24.98,77,100,1.54,CA,1675655638
145,varzea alegre,-5.35,-40.3833,21.92,82,55,1.11,BR,1675655638
146,ulladulla,-35.35,150.4667,25.17,59,0,3.75,AU,1675655633
147,touros,-5.1989,-35.4608,25.81,81,12,3.07,BR,1675655489
148,roald,62.5833,6.1333,7.96,65,100,6.69,NO,1675655638
149,hasaki,35.7333,140.8333,12.22,55,53,2.98,JP,1675655639
150,mbanza-ngungu,-5.25,14.8667,18.61,94,80,1.29,CD,1675655639
151,avarua,-21.2078,-159.775,27.03,83,20,5.66,CK,1675655640
152,wattegama,6.7989,81.4808,23.34,91,100,2.17,LK,1675655640
153,twentynine palms,34.1356,-116.0542,13.29,36,0,4.47,US,1675655141
154,chesma,53.8111,60.6533,-17.81,99,100,2.68,RU,1675655640
155,harper,4.375,-7.7169,26.05,84,92,2.94,LR,1675655551
156,laguna,38.421,-121.4238,9.99,84,0,0.0,US,1675655641
157,caronport,50.4501,-105.8179,2.1,83,100,4.77,CA,1675655641
158,cape town,-33.9258,18.4232,21.18,85,0,6.17,ZA,1675655642
159,new norfolk,-42.7826,147.0587,23.72,44,41,3.58,AU,1675655642
160,saint-joseph,-21.3667,55.6167,27.21,77,60,4.84,RE,1675655563
161,sechura,-5.5569,-80.8222,23.76,75,46,4.29,PE,1675655644
162,bonthe,7.5264,-12.505,24.36,84,100,1.81,SL,1675655645
163,skjervoy,70.0311,20.9714,2.0,73,100,11.59,NO,1675655645
164,alofi,-19.0595,-169.9187,23.94,94,98,2.06,NU,1675655526
165,souillac,-20.5167,57.5167,25.21,94,40,1.54,MU,1675655647
166,belyy yar,53.6039,91.3903,-23.06,92,100,0.0,RU,1675655647
167,olinda,-8.0089,-34.8553,25.85,83,75,1.54,BR,1675655022
168,eyl,7.9803,49.8164,22.87,80,60,6.28,SO,1675655648
169,progreso,21.2833,-89.6667,22.28,71,17,5.33,MX,1675655649
170,berlevag,70.8578,29.0864,3.97,65,75,11.32,NO,1675655650
171,gayeri,12.6497,0.4931,24.75,15,100,3.53,BF,1675655650
172,netarhat,23.4833,84.2667,20.88,21,0,2.33,IN,1675655651
173,saint george,37.1041,-113.5841,7.33,72,100,6.17,US,1675655384
174,adra,36.7496,-3.0206,9.66,75,0,3.14,ES,1675655651
175,manjacaze,-24.7117,33.8828,22.13,89,50,3.76,MZ,1675655652
176,provideniya,64.3833,-173.3,-13.94,72,100,7.15,RU,1675655653
177,praya,14.9215,-23.5087,19.92,65,86,9.54,CV,1675655580
178,nantucket,41.2835,-70.0995,8.08,87,100,3.09,US,1675655564
179,menongue,-14.6585,17.691,15.87,95,100,0.55,AO,1675655526
180,kashan,33.9831,51.4364,6.36,35,100,0.7,IR,1675655654
181,naron,43.5167,-8.1528,7.79,82,11,3.08,ES,1675655655
182,christchurch,-43.5333,172.6333,29.11,26,40,4.12,NZ,1675655437
183,sistranda,63.7256,8.834,3.98,80,97,7.86,NO,1675655266
184,burnie,-41.0667,145.9167,21.28,47,16,5.78,AU,1675655557
185,sembe,1.6481,14.5806,20.52,73,59,1.28,CG,1675655656
186,sambava,-14.2667,50.1667,24.07,90,98,2.09,MG,1675655659
187,tolaga bay,-38.3667,178.3,21.62,75,96,2.59,NZ,1675655659
188,alangayam,12.6,78.75,25.1,40,100,1.52,IN,1675655660
189,severo-kurilsk,50.6789,156.125,-2.55,63,100,9.02,RU,1675655660
190,ilam,26.9167,87.9167,17.48,46,2,2.3,NP,1675655661
191,roblin,51.23,-101.3565,-6.29,87,65,4.74,CA,1675655662
192,takoradi,4.8845,-1.7554,25.97,90,76,3.04,GH,1675655662
193,pampa,35.5362,-100.9599,9.53,71,0,6.17,US,1675655466
